[Fri Apr 03 11:20:41 2015] [error] [client ::1] Directory index forbidden by Options directive: /home/rails/animulti/
[Fri Apr 03 11:20:42 2015] [error] [client ::1] File does not exist: /home/rails/animulti/favicon.ico
[Fri Apr 03 11:22:08 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:22:08 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:22:08 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:22:08 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:22:08 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:22:58 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:22:58 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:22:58 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:30:06 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:30:06 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:30:06 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:32:57 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:32:57 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:32:58 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:32:59 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:32:59 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:32:59 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:33:20 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:33:20 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:33:20 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:33:45 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:33:45 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:33:45 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:33:56 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:33:56 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:33:56 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:34:27 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:34:27 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:34:27 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:35:39 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:35:39 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:35:39 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:36:44 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 11:36:44 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 11:36:44 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
[Fri Apr 03 13:17:18 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/vendor, referer: http://animulti/
[Fri Apr 03 13:17:18 2015] [error] [client ::1] File does not exist: /home/rails/animulti/js/foundation.min.js, referer: http://animulti/
